mod,ds,acc,bacc
cnn,cifar10,96.92,96.86
qccnn,cifar10,86.34,86.01
cnn,cifar10,96.68,96.64
qccnn,cifar10,86.08,85.72
cnn,cifar10,96.44,96.35
qccnn,cifar10,95.24,95.12
cnn,cifar10,96.08,96.02
cnn,cifar10,96.41,96.32
cnn,cifar10,96.72,96.67
cnn,cifar10,95.62,95.50
cnn,cifar10,95.5,95.37
cnn,cifar10,96.64,96.57
cnn,cifar10,96.74,96.68
cnn,cifar10,96.16,96.09
cnn,cifar10,95.92,95.83
cnn,cifar10,95.38,95.24
cnn,cifar10,87.46,86.19
cnn,cifar10,95.96,95.90
cnn,cifar10,95.5,95.39
cnn,cifar10,96.88,96.86
cnn,cifar10,95.72,95.61
cnn,cifar10,96.68,96.62
cnn,cifar10,95.96,95.89
qccnn,cifar10,95.02,94.88
qccnn,cifar10,86.0,85.65
qccnn,cifar10,94.82,94.68
qccnn,cifar10,94.0,93.80
qccnn,cifar10,94.74,94.59
qccnn,cifar10,86.64,86.31
qccnn,cifar10,95.04,94.93
qccnn,cifar10,86.48,86.17
qccnn,cifar10,94.82,94.67
qccnn,cifar10,95.24,95.10
qccnn,cifar10,86.34,86.02
qccnn,cifar10,94.0,93.87
qccnn,cifar10,86.56,86.21
qccnn,cifar10,78.62,77.14
qccnn,cifar10,95.02,94.86
qccnn,cifar10,86.12,85.76
qccnn,cifar10,94.62,94.44
cnn,breast,76.28,72.49
cnn,breast,78.21,71.55
cnn,breast,78.85,75.00
cnn,breast,78.21,72.31
cnn,breast,80.13,80.39
cnn,breast,79.49,75.44
cnn,breast,77.56,76.38
cnn,breast,80.77,71.05
cnn,breast,77.56,72.62
cnn,breast,78.21,70.80
cnn,breast,78.21,73.06
cnn,breast,73.72,68.48
cnn,breast,84.62,73.68
cnn,breast,78.21,73.06
cnn,breast,78.85,71.24
cnn,breast,78.21,70.05
cnn,breast,81.41,73.75
cnn,breast,75.00,69.36
cnn,breast,78.85,73.50
cnn,breast,80.77,71.05
qccnn,breast,77.56,63.60
qccnn,breast,76.28,61.97
qccnn,breast,76.92,64.66
qccnn,breast,75.64,68.30
qccnn,breast,76.28,64.97
qccnn,breast,76.28,60.46
qccnn,breast,75.64,65.29
qccnn,breast,76.28,63.47
qccnn,breast,76.92,61.65
qccnn,breast,76.92,64.66
qccnn,breast,75.64,63.03
qccnn,breast,76.28,64.97
qccnn,breast,75.00,63.35
qccnn,breast,75.00,64.10
qccnn,breast,76.92,63.16
qccnn,breast,76.92,66.17
qccnn,breast,74.36,65.16
qccnn,breast,75.64,63.78
qccnn,breast,75.64,64.54
qccnn,breast,76.92,64.66
